name,ticker,figi
Shenzhou International Group,2313,BBG000JSJ2F6
Central Garden & Pet Co,cent,BBG000BFD605
Acuity Brands,ayi,BBG000BJ5HK0
Suncor Energy,su,BBG000BRK7L6
Telos Corporation,tls,BBG000BK34C7
PulteGroup,phm,BBG000BR54L0
Verisk Analytics,vrsk,BBG000BCZL41
Flywire,flyw,BBG002030NC4
GrafTech International Ltd,eaf,BBG00KDYT8C4
"ICF International, Inc.",icfi,BBG000BBXVK5
Atmos Energy Corp,ato,BBG000BRNGM2
Innoviva Inc,inva,BBG000CG9XT7
Synaptics Inc,syna,BBG000BQV1S2
Xiaomi,1810,BBG00KVTBY91
Applied Industrial Technologies,ait,BBG000BBHHP9
Devon Energy,dvn,BBG000BBVJZ8
