name,ticker,figi
СЕЛЛ-Сервис БО-01,ru000a107gt6,BBG01KS10DZ4
ВЭБ.РФ ПБО-2 выпуск 31,ru000a1042w6,TCS00A1042W6
Novabev Group БО-П03,ru000a1015e0,BBG00R2FH979
Газпром капитал БО-002Р-12,ru000a107t27,TCS10A107T27
ОФЗ 26212,su26212rmfs9,BBG00425VG07
Ульяновская область 34005,ru000a106607,TCS00A106607
ПИМ выпуск 2,ru000a106nt4,TCS00A106NT4
ОФЗ 29008,su29008rmfs8,BBG007Z5DZS2
АФК Система выпуск 12,ru000a101012,BBG00QTDV828
Эфферон выпуск 1,ru000a105h98,TCS00A105H98
ОФЗ 29025,su29025rmfs2,BBG01JM5P9G7
Истринская Сыроварня выпуск 2,ru000a106sl0,BBG01J7SQ5D4
СЕЛЛ-Сервис БО-П02,ru000a106c50,TCS00A106C50
ОФЗ 26243,su26243rmfs4,TCS00A106E90
Интерлизинг 001Р-08,ru000a108al4,TCS00A108AL4
Металлоинвест CNY 1Р-02,ru000a1057d4,TCS00A1057D4
СУЭК-Финанс выпуск 3,ru000a100vg7,BBG00QFLCT66
Самарская область 35015,ru000a1020l5,BBG00WLLSRP2
Новабев Групп БО-П07,ru000a1099a2,TCS00A1099A2
Вымпелком 1Р-07,ru000a105wp5,TCS00A105WP5
Эталон Финанс 002P-02,ru000a109sp5,TCS80A109SP5
Нафтатранс Плюс БО-04,ru000a105cf8,TCS00A105CF8
ДиректЛизинг 002P-01,ru000a106gy8,BBG01HCSNJD5
Газпром нефть 003P-13R,ru000a109b33,TCS00A109B33
Газпромбанк 005P-02P,ru000a107f49,BBG01KR58B73
АФК Система выпуск 6,ru000a0jxn21,BBG00GF6BJZ2
Европлан БО 08,ru000a0zzbv2,BBG00L9H7QZ3
ВУШ 001Р-03,ru000a109hx2,TCS10A109HX2
Глоракс 001P-02,ru000a108132,TCS00A108132
Совкомфлот ЗО-2028,ru000a105a87,TCS00A105A87
Тойота Банк выпуск 5,ru000a104l36,TCS00A104L36
РЖД ЗО26-1-ФР,ru000a1084s6,BBG01N376KQ0
СОПФ Инфраструктурные облигации выпуск 8,ru000a107tk8,TCS00A107TK8
ИКС 5 ФИНАНС 003P-04,ru000a107wl0,BBG01LXYNYC8
ГТЛК БО-04,ru000a0jva10,BBG0089PCRC1
Смартфакт БО-02-001P,ru000a107ep9,TCS00A107EP9
ЛК Эволюция 001P-01,ru000a107gv2,TCS00A107GV2
